Move, type, Category, Power, Accuracy, Power Points 
Pound,NORMAL,PHYSICAL,40,100,35
Karate Chop,FIGHTING,PHYSICAL,50,100,25
Double Slap,NORMAL,PHYSICAL,15,85,10
Comet Punch,NORMAL,PHYSICAL,18,85,15
Mega Punch,NORMAL,PHYSICAL,80,85,20
Pay Day,NORMAL,PHYSICAL,40,100,20
Fire Punch,FIRE,PHYSICAL,75,100,15
Ice Punch,ICE,PHYSICAL,75,100,15
Thunder Punch,ELECTRIC,PHYSICAL,75,100,15
Scratch,NORMAL,PHYSICAL,40,100,35
Vise Grip,NORMAL,PHYSICAL,55,100,30
Guillotine,NORMAL,PHYSICAL,none,30,5
Razor Wind,NORMAL,SPECIAL,80,100,10
Swords Dance,NORMAL,STATUS,none,none,20
Cut,NORMAL,PHYSICAL,50,95,30
Gust,FLYING,SPECIAL,40,100,35
Wing Attack,FLYING,PHYSICAL,60,100,35
Whirlwind,NORMAL,STATUS,none,none,20
Fly,FLYING,PHYSICAL,90,95,15
Bind,NORMAL,PHYSICAL,15,85,20
Slam,NORMAL,PHYSICAL,80,75,20
Vine Whip,GRASS,PHYSICAL,45,100,25
Stomp,NORMAL,PHYSICAL,65,100,20
Double Kick,FIGHTING,PHYSICAL,30,100,30
Mega Kick,NORMAL,PHYSICAL,120,75,5
Jump Kick,FIGHTING,PHYSICAL,100,95,10
Rolling Kick,FIGHTING,PHYSICAL,60,85,15
Sand Attack,GROUND,STATUS,none,100,15
Headbutt,NORMAL,PHYSICAL,70,100,15
Horn Attack,NORMAL,PHYSICAL,65,100,25
Fury Attack,NORMAL,PHYSICAL,15,85,20
Horn Drill,NORMAL,PHYSICAL,none,30,5
Tackle,NORMAL,PHYSICAL,40,100,35
Body Slam,NORMAL,PHYSICAL,85,100,15
Wrap,NORMAL,PHYSICAL,15,90,20
Take Down,NORMAL,PHYSICAL,90,85,20
Thrash,NORMAL,PHYSICAL,120,100,10
Double-Edge,NORMAL,PHYSICAL,120,100,15
Tail Whip,NORMAL,STATUS,none,100,30
Poison Sting,POISON,PHYSICAL,15,100,35
Twineedle,BUG,PHYSICAL,25,100,20
Pin Missile,BUG,PHYSICAL,25,95,20
Leer,NORMAL,STATUS,none,100,30
Bite,DARK,PHYSICAL,60,100,25
Growl,NORMAL,STATUS,none,100,40
Roar,NORMAL,STATUS,none,none,20
Sing,NORMAL,STATUS,none,55,15
Supersonic,NORMAL,STATUS,none,55,20
Sonic Boom,NORMAL,SPECIAL,none,90,20
Disable,NORMAL,STATUS,none,100,20
Acid,POISON,SPECIAL,40,100,30
Ember,FIRE,SPECIAL,40,100,25
Flamethrower,FIRE,SPECIAL,90,100,15
Mist,ICE,STATUS,none,none,30
Water Gun,WATER,SPECIAL,40,100,25
Hydro Pump,WATER,SPECIAL,110,80,5
Surf,WATER,SPECIAL,90,100,15
Ice Beam,ICE,SPECIAL,90,100,10
Blizzard,ICE,SPECIAL,110,70,5
Psybeam,PSYCHIC,SPECIAL,65,100,20
Bubble Beam,WATER,SPECIAL,65,100,20
Aurora Beam,ICE,SPECIAL,65,100,20
Hyper Beam,NORMAL,SPECIAL,150,90,5
Peck,FLYING,PHYSICAL,35,100,35
Drill Peck,FLYING,PHYSICAL,80,100,20
Submission,FIGHTING,PHYSICAL,80,80,20
Low Kick,FIGHTING,PHYSICAL,none,100,20
Counter,FIGHTING,PHYSICAL,none,100,20
Seismic Toss,FIGHTING,PHYSICAL,none,100,20
Strength,NORMAL,PHYSICAL,80,100,15
Absorb,GRASS,SPECIAL,20,100,25
Mega Drain,GRASS,SPECIAL,40,100,15
Leech Seed,GRASS,STATUS,none,90,10
Growth,NORMAL,STATUS,none,none,20
Razor Leaf,GRASS,PHYSICAL,55,95,25
Solar Beam,GRASS,SPECIAL,120,100,10
Poison Powder,POISON,STATUS,none,75,35
Stun Spore,GRASS,STATUS,none,75,30
Sleep Powder,GRASS,STATUS,none,75,15
Petal Dance,GRASS,SPECIAL,120,100,10
String Shot,BUG,STATUS,none,95,40
Dragon Rage,DRAGON,SPECIAL,none,100,10
Fire Spin,FIRE,SPECIAL,35,85,15
Thunder Shock,ELECTRIC,SPECIAL,40,100,30
Thunderbolt,ELECTRIC,SPECIAL,90,100,15
Thunder Wave,ELECTRIC,STATUS,none,90,20
Thunder,ELECTRIC,SPECIAL,110,70,10
Rock Throw,ROCK,PHYSICAL,50,90,15
Earthquake,GROUND,PHYSICAL,100,100,10
Fissure,GROUND,PHYSICAL,none,30,5
Dig,GROUND,PHYSICAL,80,100,10
Toxic,POISON,STATUS,none,90,10
Confusion,PSYCHIC,SPECIAL,50,100,25
Psychic,PSYCHIC,SPECIAL,90,100,10
Hypnosis,PSYCHIC,STATUS,none,60,20
Meditate,PSYCHIC,STATUS,none,none,40
Agility,PSYCHIC,STATUS,none,none,30
Quick Attack,NORMAL,PHYSICAL,40,100,30
Rage,NORMAL,PHYSICAL,20,100,20
Teleport,PSYCHIC,STATUS,none,none,20
Night Shade,GHOST,SPECIAL,none,100,15
Mimic,NORMAL,STATUS,none,none,10
Screech,NORMAL,STATUS,none,85,40
Double Team,NORMAL,STATUS,none,none,15
Recover,NORMAL,STATUS,none,none,5
Harden,NORMAL,STATUS,none,none,30
Minimize,NORMAL,STATUS,none,none,10
Smokescreen,NORMAL,STATUS,none,100,20
Confuse Ray,GHOST,STATUS,none,100,10
Withdraw,WATER,STATUS,none,none,40
Defense Curl,NORMAL,STATUS,none,none,40
Barrier,PSYCHIC,STATUS,none,none,20
Light Screen,PSYCHIC,STATUS,none,none,30
Haze,ICE,STATUS,none,none,30
Reflect,PSYCHIC,STATUS,none,none,20
Focus Energy,NORMAL,STATUS,none,none,30
Bide,NORMAL,PHYSICAL,none,none,10
Metronome,NORMAL,STATUS,none,none,10
Mirror Move,FLYING,STATUS,none,none,20
Self-Destruct,NORMAL,PHYSICAL,200,100,5
Egg Bomb,NORMAL,PHYSICAL,100,75,10
Lick,GHOST,PHYSICAL,30,100,30
Smog,POISON,SPECIAL,30,70,20
Sludge,POISON,SPECIAL,65,100,20
Bone Club,GROUND,PHYSICAL,65,85,20
Fire Blast,FIRE,SPECIAL,110,85,5
