Pokemon, Number, height, weight, HP, Attack, Defense, Sp. Atk, Sp. Def, Speed, total, Sprite
Bbasaur,1,0.7,6.9,45,49,49,65,65,45,318,https://play.pokemonshowdown.com/sprites/gen5/bulbasaur.png
Ivysaur,2,1,13,60,62,63,80,80,60,405,https://play.pokemonshowdown.com/sprites/gen5/ivysaur.png
Venusaur,3,2,100,80,82,83,100,100,80,525,https://play.pokemonshowdown.com/sprites/gen5/venusaur.png
Charmander,4,0.6,8.5,39,52,43,60,50,65,309,https://play.pokemonshowdown.com/sprites/gen5/charmander.png
Charmeleon,5,1.1,19,58,64,58,80,65,80,405,https://play.pokemonshowdown.com/sprites/gen5/charmeleon.png
Charizard,6,1.7,90.5,78,84,78,109,85,100,534,https://play.pokemonshowdown.com/sprites/gen5/charizard.png
Squirtle,7,0.5,9,44,48,65,50,64,43,314,https://play.pokemonshowdown.com/sprites/gen5/squirtle.png
Wartortle,8,1,22.5,59,63,80,65,80,58,405,https://play.pokemonshowdown.com/sprites/gen5/wartortle.png
Blastoise,9,1.6,85.5,79,83,100,85,105,78,530,https://play.pokemonshowdown.com/sprites/gen5/blastoise.png
Caterpie,10,0.3,2.9,45,30,35,20,20,45,195,https://play.pokemonshowdown.com/sprites/gen5/caterpie.png
Metapod,11,0.7,9.9,50,20,55,25,25,30,205,https://play.pokemonshowdown.com/sprites/gen5/metapod.png
Butterfree,12,1.1,32,60,45,50,90,80,70,395,https://play.pokemonshowdown.com/sprites/gen5/butterfree.png
Weedle,13,0.3,3.2,40,35,30,20,20,50,195,https://play.pokemonshowdown.com/sprites/gen5/weedle.png
Kakuna,14,0.6,10,45,25,50,25,25,35,205,https://play.pokemonshowdown.com/sprites/gen5/kakuna.png
Beedrill,15,1,29.5,65,90,40,45,80,75,395,https://play.pokemonshowdown.com/sprites/gen5/beedrill.png
Pidgey,16,0.3,1.8,40,45,40,35,35,56,251,https://play.pokemonshowdown.com/sprites/gen5/pidgey.png
Pidgeotto,17,1.1,30,63,60,55,50,50,71,349,https://play.pokemonshowdown.com/sprites/gen5/pidgeotto.png
Pidgeot,18,1.5,39.5,83,80,75,70,70,101,479,https://play.pokemonshowdown.com/sprites/gen5/pidgeot.png
Rattata,19,0.3,3.5,30,56,35,25,35,72,253,https://play.pokemonshowdown.com/sprites/gen5/rattata.png
Rattata-Alola,19,0.3,3.8,30,56,35,25,35,72,253,https://play.pokemonshowdown.com/sprites/gen5/rattata-alola.png
Raticate,20,0.7,18.5,55,81,60,50,70,97,413,https://play.pokemonshowdown.com/sprites/gen5/raticate.png
Raticate-Alola,20,0.7,25.5,75,71,70,40,80,77,413,https://play.pokemonshowdown.com/sprites/gen5/raticate-alola.png
Spearow,21,0.3,2,40,60,30,31,31,70,262,https://play.pokemonshowdown.com/sprites/gen5/spearow.png
Fearow,22,1.2,38,65,90,65,61,61,100,442,https://play.pokemonshowdown.com/sprites/gen5/fearow.png
Ekans,23,2,6.9,35,60,44,40,54,55,288,https://play.pokemonshowdown.com/sprites/gen5/ekans.png
Arbok,24,3.5,65,60,95,69,65,79,80,448,https://play.pokemonshowdown.com/sprites/gen5/arbok.png
Pikachu,25,0.4,6,35,55,40,50,50,90,320,https://play.pokemonshowdown.com/sprites/gen5/pikachu.png
Raichu,26,0.8,30,60,90,55,90,80,110,485,https://play.pokemonshowdown.com/sprites/gen5/raichu.png
