Pokemon, Move, Source 
Bulbasaur,Growl,level 1
Bulbasaur,Tackle,level 1
Bulbasaur,Vine Whip,level 3
Bulbasaur,Growth,level 6
Bulbasaur,Leech Seed,level 9
Bulbasaur,Razor Leaf,level 12
Bulbasaur,Poison Powder,level 15
Bulbasaur,Sleep Powder,level 15
Bulbasaur,Seed Bomb,level 18
Bulbasaur,Take Down,level 21
Bulbasaur,Sweet Scent,level 24
Bulbasaur,Synthesis,level 27
Bulbasaur,Worry Seed,level 30
Bulbasaur,Double-Edge,level 33
Bulbasaur,Solar Beam,level 36
Bulbasaur,Amnesia,TM
Bulbasaur,Attract,TM
Bulbasaur,Body Slam,TM
Bulbasaur,Bullet Seed,TM
Bulbasaur,Charm,TM
Bulbasaur,Endure,TM
Bulbasaur,Energy Ball,TM
Bulbasaur,Facade,TM
Bulbasaur,False Swipe,TM
Bulbasaur,Giga Drain,TM
Bulbasaur,Grass Knot,TM
Bulbasaur,Grassy Terrain,TM
Bulbasaur,Helping Hand,TM
Bulbasaur,Leaf Storm,TM
Bulbasaur,Light Screen,TM
Bulbasaur,Magical Leaf,TM
Bulbasaur,Power Whip,TM
Bulbasaur,Protect,TM
Bulbasaur,Rest,TM
Bulbasaur,Round,TM
Bulbasaur,Safeguard,TM
Bulbasaur,Seed Bomb,TM
Bulbasaur,Sleep Talk,TM
Bulbasaur,Sludge Bomb,TM
Bulbasaur,Snore,TM
Bulbasaur,Solar Beam,TM
Bulbasaur,Substitute,TM
Bulbasaur,Sunny Day,TM
Bulbasaur,Swords Dance,TM
Bulbasaur,Venoshock,TM
Bulbasaur,Weather Ball,TM
Bulbasaur,Work Up,TM
Bulbasaur,Grass Pledge,move tutor
Bulbasaur,Grassy Glide,move tutor
Bulbasaur,Curse,egg move
Bulbasaur,Ingrain,egg move
Bulbasaur,Nature Power,egg move
Bulbasaur,Petal Dance,egg move
Bulbasaur,Skull Bash,egg move
Bulbasaur,Toxic,egg move
Bulbasaur,Block,Event
Bulbasaur,Celebrate,Event
Bulbasaur,False Swipe,Event
Bulbasaur,Frenzy Plant,Event
Bulbasaur,Growl,Event
Bulbasaur,Growth,Event
Bulbasaur,Leech Seed,Event
Bulbasaur,Poison Powder,Event
Bulbasaur,Solar Beam,Event
Bulbasaur,Sweet Scent,Event
Bulbasaur,Synthesis,Event
Bulbasaur,Tackle,Event
Bulbasaur,Vine Whip,Event
Bulbasaur,Weather Ball,Event
Bulbasaur,Bide,Past generation only
Bulbasaur,Bind,Past generation only
Bulbasaur,Captivate,Past generation only
Bulbasaur,Confide,Past generation only
Bulbasaur,Cut,Past generation only
Bulbasaur,Defense Curl,Past generation only
Bulbasaur,Double Team,Past generation only
Bulbasaur,Echoed Voice,Past generation only
Bulbasaur,Flash,Past generation only
Bulbasaur,Frustration,Past generation only
Bulbasaur,Fury Cutter,Past generation only
Bulbasaur,Grass Whistle,Past generation only
Bulbasaur,Headbutt,Past generation only
Bulbasaur,Hidden Power,Past generation only
Bulbasaur,Knock Off,Past generation only
Bulbasaur,Mega Drain,Past generation only
Bulbasaur,Mimic,Past generation only
Bulbasaur,Mud-Slap,Past generation only
Bulbasaur,Natural Gift,Past generation only
Bulbasaur,Outrage,Past generation only
Bulbasaur,Rage,Past generation only
Bulbasaur,Razor Wind,Past generation only
Bulbasaur,Reflect,Past generation only
Bulbasaur,Return,Past generation only
Bulbasaur,Rock Smash,Past generation only
Bulbasaur,Secret Power,Past generation only
Bulbasaur,Sludge,Past generation only
Bulbasaur,Strength,Past generation only
Bulbasaur,String Shot,Past generation only
Bulbasaur,Swagger,Past generation only
Ivysaur,Growl,level 1
Ivysaur,Growth,level 1
Ivysaur,Tackle,level 1
Ivysaur,Vine Whip,level 1
Ivysaur,Leech Seed,level 9
Ivysaur,Razor Leaf,level 12
Ivysaur,Poison Powder,level 15
Ivysaur,Sleep Powder,level 15
Ivysaur,Seed Bomb,level 20
Ivysaur,Take Down,level 25
Ivysaur,Sweet Scent,level 30
Ivysaur,Synthesis,level 35
Ivysaur,Worry Seed,level 40
Ivysaur,Double-Edge,level 45
Ivysaur,Solar Beam,level 50
Ivysaur,Amnesia,TM
Ivysaur,Attract,TM
Ivysaur,Body Slam,TM
Ivysaur,Bullet Seed,TM
Ivysaur,Charm,TM
Ivysaur,Endure,TM
Ivysaur,Energy Ball,TM
Ivysaur,Facade,TM
Ivysaur,False Swipe,TM
Ivysaur,Giga Drain,TM
Ivysaur,Grass Knot,TM
Ivysaur,Grassy Terrain,TM
Ivysaur,Helping Hand,TM
Ivysaur,Leaf Storm,TM
Ivysaur,Light Screen,TM
Ivysaur,Magical Leaf,TM
Ivysaur,Power Whip,TM
Ivysaur,Protect,TM
Ivysaur,Rest,TM
Ivysaur,Round,TM
Ivysaur,Safeguard,TM
Ivysaur,Seed Bomb,TM
Ivysaur,Sleep Talk,TM
Ivysaur,Sludge Bomb,TM
Ivysaur,Snore,TM
Ivysaur,Solar Beam,TM
Ivysaur,Substitute,TM
Ivysaur,Sunny Day,TM
Ivysaur,Swords Dance,TM
Ivysaur,Venoshock,TM
Ivysaur,Weather Ball,TM
Ivysaur,Work Up,TM
Ivysaur,Grass Pledge,move tutor
Ivysaur,Grassy Glide,move tutor
Ivysaur,Curse,egg move
Ivysaur,Ingrain,egg move
Ivysaur,Nature Power,egg move
Ivysaur,Petal Dance,egg move
Ivysaur,Skull Bash,egg move
Ivysaur,Toxic,egg move
Ivysaur,Block,Event
Ivysaur,Celebrate,Event
Ivysaur,False Swipe,Event
Ivysaur,Frenzy Plant,Event
Ivysaur,Growl,Event
Ivysaur,Growth,Event
Ivysaur,Leech Seed,Event
Ivysaur,Poison Powder,Event
Ivysaur,Solar Beam,Event
Ivysaur,Sweet Scent,Event
Ivysaur,Synthesis,Event
