Pokemon, Number, height, weight, HP, Attack, Defense, Sp. Atk, Sp. Def, Speed, total, Sprite
Chespin,,0.4,9,56,61,65,48,45,38,313,https://play.pokemonshowdown.com/sprites/gen5/chespin.png
Quilladin,651,0.7,29,61,78,95,56,58,57,405,https://play.pokemonshowdown.com/sprites/gen5/quilladin.png
Chesnaught,652,1.6,90,88,107,122,74,75,64,530,https://play.pokemonshowdown.com/sprites/gen5/chesnaught.png
Fennekin,653,0.4,9.4,40,45,40,62,60,60,307,https://play.pokemonshowdown.com/sprites/gen5/fennekin.png
Braixen,654,1,14.5,59,59,58,90,70,73,409,https://play.pokemonshowdown.com/sprites/gen5/braixen.png
Delphox,655,1.5,39,75,69,72,114,100,104,534,https://play.pokemonshowdown.com/sprites/gen5/delphox.png
Froakie,656,0.3,7,41,56,40,62,44,71,314,https://play.pokemonshowdown.com/sprites/gen5/froakie.png
Frogadier,657,0.6,10.9,54,63,52,83,56,97,405,https://play.pokemonshowdown.com/sprites/gen5/frogadier.png
Greninja,658,1.5,40,72,95,67,103,71,122,530,https://play.pokemonshowdown.com/sprites/gen5/greninja.png
Bunnelby,659,0.4,5,38,36,38,32,36,57,237,https://play.pokemonshowdown.com/sprites/gen5/bunnelby.png
Diggersby,660,1,42.4,85,56,77,50,77,78,423,https://play.pokemonshowdown.com/sprites/gen5/diggersby.png
Fletchling,661,0.3,1.7,45,50,43,40,38,62,278,https://play.pokemonshowdown.com/sprites/gen5/fletchling.png
Fletchinder,662,0.7,16,62,73,55,56,52,84,382,https://play.pokemonshowdown.com/sprites/gen5/fletchinder.png
Talonflame,663,1.2,24.5,78,81,71,74,69,126,499,https://play.pokemonshowdown.com/sprites/gen5/talonflame.png
Scatterbug,664,0.3,2.5,38,35,40,27,25,35,200,https://play.pokemonshowdown.com/sprites/gen5/scatterbug.png
Spewpa,665,0.3,8.4,45,22,60,27,30,29,213,https://play.pokemonshowdown.com/sprites/gen5/spewpa.png
Vivillon,666,1.2,17,80,52,50,90,50,89,411,https://play.pokemonshowdown.com/sprites/gen5/vivillon-pokeball.png
Litleo,667,0.6,13.5,62,50,58,73,54,72,369,https://play.pokemonshowdown.com/sprites/gen5/litleo.png
Pyroar,668,1.5,81.5,86,68,72,109,66,106,507,https://play.pokemonshowdown.com/sprites/gen5/pyroar.png
Flabebe,669,0.1,0.1,44,38,39,61,79,42,303,https://play.pokemonshowdown.com/sprites/gen5/flabebe.png
Floette,670,0.2,0.9,54,45,47,75,98,52,371,https://play.pokemonshowdown.com/sprites/gen5/floette.png
Florges,671,1.1,10,78,65,68,112,154,75,552,https://play.pokemonshowdown.com/sprites/gen5/florges.png
Skiddo,672,0.9,31,66,65,48,62,57,52,350,https://play.pokemonshowdown.com/sprites/gen5/skiddo.png
Gogoat,673,1.7,91,123,100,62,97,81,68,531,https://play.pokemonshowdown.com/sprites/gen5/gogoat.png
Pancham,674,0.6,8,67,82,62,46,48,43,348,https://play.pokemonshowdown.com/sprites/gen5/pancham.png
Pangoro,675,2.1,136,95,124,78,69,71,58,495,https://play.pokemonshowdown.com/sprites/gen5/pangoro.png
Furfrou,676,1.2,28,75,80,60,65,90,102,472,https://play.pokemonshowdown.com/sprites/gen5/furfrou.png
Espurr,677,0.3,3.5,62,48,54,63,60,68,355,https://play.pokemonshowdown.com/sprites/gen5/espurr.png
Meowstic,678,0.6,8.5,74,48,76,83,81,104,466,https://play.pokemonshowdown.com/sprites/gen5/meowstic.png
Honedge,679,0.8,2,45,80,100,35,37,28,325,https://play.pokemonshowdown.com/sprites/gen5/honedge.png
Doublade,680,0.8,4.5,59,110,150,45,49,35,448,https://play.pokemonshowdown.com/sprites/gen5/doublade.png
Aegislash,681,1.7,53,60,50,140,50,140,60,500,https://play.pokemonshowdown.com/sprites/gen5/aegislash.png
Spritzee,682,0.2,0.5,78,52,60,63,65,23,341,https://play.pokemonshowdown.com/sprites/gen5/spritzee.png
Aromatisse,683,0.8,15.5,101,72,72,99,89,29,462,https://play.pokemonshowdown.com/sprites/gen5/aromatisse.png
Swirlix,684,0.4,3.5,62,48,66,59,57,49,341,https://play.pokemonshowdown.com/sprites/gen5/swirlix.png
Slurpuff,685,0.8,5,82,80,86,85,75,72,480,https://play.pokemonshowdown.com/sprites/gen5/slurpuff.png
Inkay,686,0.4,3.5,53,54,53,37,46,45,288,https://play.pokemonshowdown.com/sprites/gen5/inkay.png
Malamar,687,1.5,47,86,92,88,68,75,73,482,https://play.pokemonshowdown.com/sprites/gen5/malamar.png
Binacle,688,0.5,31,42,52,67,39,56,50,306,https://play.pokemonshowdown.com/sprites/gen5/binacle.png
Barbaracle,689,1.3,96,72,105,115,54,86,68,500,https://play.pokemonshowdown.com/sprites/gen5/barbaracle.png
Skrelp,690,0.5,7.3,50,60,60,60,60,30,320,https://play.pokemonshowdown.com/sprites/gen5/skrelp.png
Dragalge,691,1.8,81.5,65,75,90,97,123,44,494,https://play.pokemonshowdown.com/sprites/gen5/dragalge.png
