DefType,AtkType,Relation
Normal,Ghost,immunity
Flying,Ground,immunity
Ground,Electric,immunity
Steel,Poison,immunity
Fairy,Dragon,immunity
Dark,Psychic,immunity
Ghost,Normal,immunity
Ghost,Fighting,immunity
Normal,Fighting,weakness
Water,Grass,weakness
Water,Electric,weakness
Fire,Water,weakness
Fire,Ground,weakness
Fire,Rock,weakness
Grass,Fire,weakness
Grass,Bug,weakness
Grass,Flying,weakness
Grass,Poison,weakness
Grass,Ice,weakness
Electric,Ground,weakness
Flying,Electric,weakness
Flying,Rock,weakness
Flying,Ice,weakness
Bug,Fire,weakness
Bug,Rock,weakness
Bug,Flying,weakness
Rock,Water,weakness
Rock,Grass,weakness
Rock,Fighting,weakness
Rock,Ground,weakness
Rock,Steel,weakness
Ground,Water,weakness
Ground,Grass,weakness
Ground,Ice,weakness
Steel,Fire,weakness
Steel,Fighting,weakness
Steel,Ground,weakness
Ice,Fire,weakness
Ice,Fighting,weakness
Ice,Rock,weakness
Ice,Steel,weakness
Dragon,Ice,weakness
Dragon,Dragon,weakness
Dragon,Fairy,weakness
Fairy,Poison,weakness
Fairy,Steel,weakness
Dark,Fighting,weakness
Dark,Bug,weakness
Dark,Fairy,weakness
Ghost,Ghost,weakness
Ghost,Dark,weakness
Psychic,Bug,weakness
Psychic,Dark,weakness
Psychic,Ghost,weakness
Fighting,Flying,weakness
Fighting,Psychic,weakness
Fighting,Fairy,weakness
Poison,Ground,weakness
Poison,Psychic,weakness
Water,Water,resistance
Water,Fire,resistance
Water,Ice,resistance
Water,Steel,resistance
Fire,Fire,resistance
Fire,Grass,resistance
Fire,Ice,resistance
Fire,Bug,resistance
Fire,Steel,resistance
Fire,Fairy,resistance
Grass,Water,resistance
Grass,Electric,resistance
Grass,Grass,resistance
Grass,Ground,resistance
Electric,Electric,resistance
Electric,Flying,resistance
Electric,Steel,resistance
Flying,Grass,resistance
Flying,Fighting,resistance
Flying,Bug,resistance
Bug,Grass,resistance
Bug,Fighting,resistance
Bug,Ground,resistance
Rock,Normal,resistance
Rock,Fire,resistance
Rock,Poison,resistance
Rock,Flying,resistance
Ground,Poison,resistance
Ground,Rock,resistance
Steel,Normal,resistance
Steel,Grass,resistance
Steel,Ice,resistance
Steel,Psychic,resistance
Steel,Bug,resistance
Steel,Flying,resistance
Steel,Dragon,resistance
Steel,Steel,resistance
Steel,Fairy,resistance
Steel,Rock,resistance
Ice,Ice,resistance
Dragon,Fire,resistance
Dragon,Water,resistance
Dragon,Grass,resistance
Dragon,Electric,resistance
Fairy,Fighting,resistance
Fairy,Bug,resistance
Fairy,Dark,resistance
Dark,Ghost,resistance
Dark,Dark,resistance
Ghost,Poison,resistance
Ghost,Bug,resistance
Psychic,Psychic,resistance
Psychic,Fighting,resistance
Fighting,Bug,resistance
Fighting,Rock,resistance
Fighting,Dark,resistance
Poison,Grass,resistance
Poison,Bug,resistance
Poison,Poison,resistance
Poison,Fighting,resistance
Poison,Fairy,resistance
